Tissue Name;Density (kg/m3);Heat Capacity (J/kg/°C);Thermal Conductivity (W/m/°C);Heat Transfer Rate (ml/min/kg);Heat Generation Rate (W/kg);"LF Conductivity ";Magnetic Conductivity [S/m];Magnetic Relative Permeability;Tissue Speed of Sound [m/s];Tissue Dependent Parameter of the Non Linearity Prameter B/A;Attenuation Constant - α0 [Np/m/MHz];Attenuation Constant - b;1.5T- T1 [ms];1.5T- T2 [ms];3.0T- T1 [ms];3.0T- T2 [ms]
Adrenal Gland;1027,50;3512,5;0,44325;1457,755102;22,57609758;0,4811;0;1;1500;;15,492;1;;;;
Air;1,16;1003,666667;0,027381779;0;0;0;0;1;343;;0,039143947;2;;;;
Bile;928,00;4037;0,58325;0;0;1,468333333;0;1;1500;6;0,255;1,31;;;;
Blood;1049,75;3617;0,516857143;10000;0;0,65985159;0;1;1578,183333;6,1125;2,3676;1,0498;1387,538462;308,5;1984,440678;275
Blood Plasma;1020,05;3930;0,582;;;1,078958079;0;1;1549,35;5,74;1,075;1,1596;;;;
Blood Serum;1024,00;;;;;1,176485653;0;1;1500;;0;0;;;;
Blood Vessel Wall;1101,50;3306;0,462;150;2,323033981;0,231971605;0;1;1569,142857;;7,02;1;1434,5;163,9875;1498,25;
Bone (Cancellous);1178,33;2274;0,3125;30;0,464606796;0,082071264;0;1;2117,533333;;47;1,2;;;;
Bone (Cortical);1908,00;1312,833333;0,32;10;0,154868932;0,003503994;0;1;3514,857143;;54,553;1;;;;
Bone Marrow (Red);1028,50;2666;0,279;135;2,090730583;0;0;1;1450;;12,5;1;549;49;586;49
Bone Marrow (Yellow);980,00;2065;0,192135101;30;0,464606796;0,002471683;0;1;1371,91;;4,3578;1,0861;288;165;365;133
Brain;1045,50;3630;0,51325;558,6063123;11,36655303;0,234006562;0;1;1546,323529;6,716666667;6,8032;1,3;;;;
Brain (Grey Matter);1044,50;3695,8;0,547;763,6666667;15,53913279;0,239148736;0;1;1500;;1,2;1,21;1260,822581;109,4;1433,193548;92,60196078
Brain (White Matter);1041,00;3582,8;0,481;212,3333333;4,320570749;0,265075903;0;1;1552,5;;6,7082;1,09;999,8518519;112,3125;866,9475806;60,78125
Breast Fat;911,00;2348,333333;0,209;47;0,727883981;0,022232277;0;1;1440,1875;10,0712;4,3578;1,0861;986,0736364;55,42;886,845;53,66
Breast Gland;1040,50;2960;0,3345;150;2,323033981;0;0;1;1505;9,63;8,635;1,5;;;;
Bronchi;1101,50;3306;0,462;238,25;3,689752306;0,231971605;0;1;1569,142857;;7,02;1;1434,5;163,9875;1498,25;
Bronchi lumen;1,16;1003,666667;0,027381779;0;0;0;0;1;343;;0,039143947;2;;;;
Cartilage;1099,50;3568;0,487;35;0,542041262;1,01;0;1;1639,6;;0,4397;1;1045,5;37,3375;1201;44,025
